time,containers,1229360@20031,1229360@20031,1229360@20031,22137@20031,86348@20031,94632@20031,295719@20031,547209@20031,13728@20031,28533@20031,1229360@20031,1312828@20031,1446733@20031,1730606@20031,1730606@20031,1446733@20031,1312828@20031,1229360@20031,547209@20031,295719@20031,94632@20031,86348@20031,28533@20031,22137@20031,13728@20031,13728@20031,22137@20031,28533@20031,86348@20031,94632@20031,295719@20031,547209@20031,1229360@20031,1312828@20031,1446733@20031,1730606@20031,13728@20031,22137@20032,28533@20206,86348@20207,94632@20208,295719@20209,547209@20210,1229360@20211,22137@20031,28533@20032,86348@20033,94632@20034,295719@20035,547209@20036,1312828@20037,1446733@20038,1730606@20039,13728@20031,22137@20032,28533@20031,86348@20032,94632@20033,295719@20034,547209@20035,1229360@20036,1312828@20037,1446733@20038,1730606@20039,1730606@20031,1446733@20032,1312828@20033,1229360@20031,547209@20032,295719@20033,94632@20034,86348@20035,28533@20037,22137@20038,13728@20039,13728@20031,22137@20032,28533@20034,86348@20035,94632@20036,295719@20037,547209@20038,1229360@20039,1312828@20040,1446733@20041,1730606@20042
20041,596,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,8,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,22,48,0
20042,596,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,8,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,22,0,64
20043,584,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,22,0,0
20044,560,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,22,0,0
20045,584,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,8,22,0,0
20046,588,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0
20047,574,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0
20048,551,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0
20049,525,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0
20050,542,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0
20051,540,0,0,0,0,0,0,0,0,0,12,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,22,0,0,0,0,12,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,22,0,0
